Date,Close
2024/10/30,92.3
2024/10/31,92.45
2024/11/1,90.84
2024/11/4,92.25
2024/11/5,92.74
2024/11/6,90.2
2024/11/7,91.33
2024/11/8,92.49
2024/11/11,92.04
2024/11/12,90.66
2024/11/13,89.8
2024/11/14,90.32
2024/11/15,90.08
2024/11/18,90.24
2024/11/19,90.7
2024/11/20,90.41
2024/11/21,90.34
2024/11/22,90.39
2024/11/25,92.73
2024/11/26,92.37
2024/11/27,93.01
2024/11/29,93.97
2024/12/2,93.87
2024/12/3,93.06
2024/12/4,94.06
2024/12/5,94.25
2024/12/6,94.39
2024/12/9,93.52
2024/12/10,93.08
2024/12/11,92.2
2024/12/12,91.08
2024/12/13,90.15
2024/12/16,90.42
2024/12/17,90.64
2024/12/18,89.16
2024/12/19,87.81
2024/12/20,88.31
2024/12/23,87.5
2024/12/24,87.87
2024/12/26,87.82
2024/12/27,87.1
2024/12/30,87.8
2024/12/31,87.33
2025/1/2,87.57
2025/1/3,87.29
2025/1/6,86.9
2025/1/7,85.92
2025/1/8,86.03
2025/1/10,85.46
2025/1/13,85.43
2025/1/14,85.29
2025/1/15,86.76
2025/1/16,87.04
2025/1/17,87.19
2025/1/21,87.97
2025/1/22,87.51
2025/1/23,86.83
2025/1/24,87.22
2025/1/27,88.25
2025/1/28,88.19
2025/1/29,88.01
2025/1/30,88.34
2025/1/31,87.76
2025/2/3,88.16
2025/2/4,88.43
2025/2/5,89.89
2025/2/6,89.85
2025/2/7,89.27
2025/2/10,89
2025/2/11,88.43
2025/2/12,87.23
2025/2/13,88.68
2025/2/14,89.15
2025/2/18,88.1
2025/2/19,88.21
2025/2/20,88.54
2025/2/21,89.61
2025/2/24,89.87
2025/2/25,91.42
2025/2/26,91.96
2025/2/27,91.31
2025/2/28,92.43
2025/3/3,92.57
2025/3/4,91.43
2025/3/5,90.7
2025/3/6,90.4
2025/3/7,90.11
2025/3/10,91.05
2025/3/11,90.4
2025/3/12,89.86
2025/3/13,90.65
2025/3/14,90.17
2025/3/17,90.62
2025/3/18,90.71
2025/3/19,91.18
2025/3/20,91.24
2025/3/21,90.7
2025/3/24,89.77
2025/3/25,89.76
2025/3/26,89.17
2025/3/27,88.91
2025/3/28,90.14
2025/3/31,91.03
2025/4/1,91.49
2025/4/2,91.43
2025/4/3,91.85
2025/4/4,92.85
2025/4/7,90.05
2025/4/8,88.35
2025/4/9,88.87
2025/4/10,86.42
2025/4/11,86.89
2025/4/14,87.51
2025/4/15,87.82
2025/4/16,88.31
2025/4/17,87.53
2025/4/21,86
2025/4/22,86.48
2025/4/23,87.32
2025/4/24,88.24
2025/4/25,88.89
2025/4/28,89.45
2025/4/29,90.2
2025/4/30,89.47
2025/5/1,88.69
2025/5/2,87.73
2025/5/5,87.24
2025/5/6,87.53
2025/5/7,87.9
2025/5/8,86.92
2025/5/9,87.05
2025/5/12,86.24
2025/5/13,85.89
2025/5/14,85.32
2025/5/15,86.07
2025/5/16,86.3
2025/5/19,86.05
2025/5/20,85.43
2025/5/21,83.97
2025/5/22,83.97
2025/5/23,84.55
2025/5/27,85.73
2025/5/28,85.36
