,Close
2023-02-02,108.32
2023-02-03,106.7
2023-02-04,106.7
2023-02-05,106.7
2023-02-06,105.91
2023-02-07,105.06
2023-02-08,105.56
2023-02-09,104.56
2023-02-10,103.39
2023-02-11,103.39
2023-02-12,103.39
2023-02-13,104.26
2023-02-14,104.02
2023-02-15,103.05
2023-02-16,101.59
2023-02-17,102.38
2023-02-18,102.38
2023-02-19,102.38
2023-02-20,102.38
2023-02-21,100.39
2023-02-22,101.31
2023-02-23,102.3
2023-02-24,100.97
2023-02-25,100.97
2023-02-26,100.97
2023-02-27,101.25
2023-02-28,101.71
2023-03-01,100.37
2023-03-02,99.48
2023-03-03,101.89
2023-03-04,101.89
2023-03-05,101.89
2023-03-06,101.1
2023-03-07,101.72
2023-03-08,101.82
2023-03-09,102.07
2023-03-10,105.59
2023-03-11,105.59
2023-03-12,105.59
2023-03-13,105.83
2023-03-14,104.09
2023-03-15,106.1
2023-03-16,105.27
2023-03-17,106.85
2023-03-18,106.85
2023-03-19,106.85
2023-03-20,105.91
2023-03-21,105.0
2023-03-22,106.4
2023-03-23,106.4
2023-03-24,106.85
2023-03-25,106.85
2023-03-26,106.85
2023-03-27,104.34
2023-03-28,104.53
2023-03-29,104.32
2023-03-30,104.8
2023-03-31,106.37
2023-04-01,106.37
2023-04-02,106.37
2023-04-03,106.6
2023-04-04,107.13
2023-04-05,108.25
2023-04-06,108.53
2023-04-07,108.53
2023-04-08,108.53
2023-04-09,108.53
2023-04-10,106.78
2023-04-11,107.0
2023-04-12,106.89
2023-04-13,106.05
2023-04-14,105.08
2023-04-15,105.08
2023-04-16,105.08
2023-04-17,103.83
2023-04-18,104.2
2023-04-19,104.1
2023-04-20,104.99
2023-04-21,104.4
2023-04-22,104.4
2023-04-23,104.4
2023-04-24,105.41
2023-04-25,106.96
2023-04-26,105.82
2023-04-27,104.77
2023-04-28,106.46
2023-04-29,106.46
2023-04-30,106.46
2023-05-01,103.13
2023-05-02,105.7
2023-05-03,106.29
2023-05-04,105.24
2023-05-05,104.89
2023-05-06,104.89
